DCAA,TCAA,HAA5,TTHM,Temp,pH,DOC,Cl2,NO2-N,NH4-N,Br,DWS_NAME,SAMPLE_DATE,Year
4.2,1.6,14.0,54.5,14.7,8.01,1.2,1.4533333333333334,0.0005,0.035,11.8,ORANGEVILLE DRINKING WATER SYSTEM,20170914,2017
12.0,13.0,28.0,48.7,15.5,8.06,3.3,1.2266666666666668,0.0005,0.0025,2.0199999999999996,ORILLIA DRINKING WATER SYSTEM,20170531,2017
19.0,15.0,35.0,56.3,22.7,7.94,3.8,1.5666666666666667,0.002,0.012,2.0199999999999996,ORILLIA DRINKING WATER SYSTEM,20170823,2017
18.0,15.0,35.0,43.6,18.2,8.18,2.3,1.1466666666666667,0.0005,0.024,2.0199999999999996,OWEN SOUND DRINKING WATER SYSTEM,20170829,2017
13.0,17.0,30.0,38.5,7.9,7.66,2.6,0.8933333333333332,0.0005,0.008,2.0199999999999996,PEMBROKE  DRINKING WATER SYSTEM,20170509,2017
24.0,28.0,53.0,73.9,20.0,7.86,3.0,0.9333333333333332,0.0005,0.0025,2.0199999999999996,PEMBROKE  DRINKING WATER SYSTEM,20170718,2017
23.0,27.0,50.0,62.4,15.5,7.69,2.8,1.16,0.0005,0.015,2.0199999999999996,PEMBROKE  DRINKING WATER SYSTEM,20171024,2017
10.0,15.0,26.0,32.4,6.5,7.92,2.5,1.2733333333333332,0.0005,0.025,2.0199999999999996,PERTH  DRINKING WATER SYSTEM,20170424,2017
27.0,31.0,59.0,48.7,7.7,7.59,3.7,1.28,0.0005,0.008,0.53,PERTH  DRINKING WATER SYSTEM,20171106,2017
11.0,15.0,28.0,32.6,12.0,7.71,2.4,1.1066666666666667,0.0005,0.0025,2.0199999999999996,PETERBOROUGH  DRINKING WATER SYSTEM,20170425,2017
32.0,28.0,63.0,55.9,24.0,7.64,3.3,1.5466666666666669,0.002,0.013,2.0199999999999996,PETERBOROUGH  DRINKING WATER SYSTEM,20170801,2017
26.0,36.0,65.0,57.8,12.8,7.6,2.8,1.9733333333333334,0.0005,0.0025,2.0199999999999996,PICTON  DRINKING WATER SYSTEM,20170509,2017
14.0,16.0,30.0,42.4,16.7,7.68,2.1,1.9866666666666666,0.0005,0.0025,2.0199999999999996,PICTON  DRINKING WATER SYSTEM,20171024,2017
1.5,0.98,2.7,19.2,19.45,7.87,1.4,0.8333333333333334,0.0005,0.007,2.0199999999999996,PORT COLBORNE DRINKING WATER SYSTEM,20170626,2017
1.8,1.0,3.7,18.3,21.0,7.76,1.4,0.8799999999999999,0.0005,0.034,2.0199999999999996,PORT COLBORNE DRINKING WATER SYSTEM,20170919,2017
3.8,2.2,7.2,15.0,13.5,7.94,1.7,1.0,0.0005,0.007,1.83,PORT DOVER DRINKING WATER SYSTEM,20170529,2017
7.6,6.1,15.0,17.9,19.7,7.87,1.7,1.04,0.002,0.027,0.88,PORT DOVER DRINKING WATER SYSTEM,20171002,2017
4.9,4.2,11.0,19.9,10.0,8.13,1.6,1.3066666666666666,0.0005,0.0025,2.0199999999999996,PORT HOPE DRINKING WATER SYSTEM,20170523,2017
16.0,8.9,28.0,36.2,20.0,8.06,1.8,1.2266666666666668,0.002,0.034,2.0199999999999996,PORT HOPE DRINKING WATER SYSTEM,20170920,2017
2.0,2.1,6.8,23.6,12.7,8.03,1.9,1.16,0.0005,0.029,2.61,PORT ROWAN DRINKING WATER SYSTEM,20170503,2017
12.0,12.0,25.0,35.7,14.9,8.03,2.2,1.2,0.002,0.0025,2.37,PRESCOTT  DRINKING WATER SYSTEM,20170614,2017
9.9,7.6,18.0,31.3,17.0,7.97,1.8,1.1133333333333333,0.002,0.026,2.0199999999999996,PRESCOTT  DRINKING WATER SYSTEM,20171002,2017
11.0,10.0,22.0,24.9,15.0,7.69,2.5,1.0933333333333333,0.0005,0.0025,2.0199999999999996,RED ROCK  DRINKING WATER SYSTEM,20170719,2017
2.3,2.3,5.2,19.6,14.5,8.18,1.5,0.7533333333333333,0.0005,0.0025,1.17,ROSEHILL DRINKING WATER SYSTEM,20170605,2017
3.4,2.8,7.0,23.6,22.0,8.16,1.3,0.8133333333333334,0.0005,0.011,0.08,ROSEHILL DRINKING WATER SYSTEM,20170925,2017
4.6,3.1,8.5,15.8,15.5,8.26,1.3,1.1333333333333333,0.0005,0.0025,2.74,SAUGEEN SHORES DRINKING WATER SYSTEM,20170612,2017
1.3,0.375,1.9,0.4,7.0,7.97,0.3,0.7266666666666667,0.0005,0.0025,2.0199999999999996,SAULT STE MARIE  DRINKING WATER SYSTEM,20170531,2017
4.9,3.3,8.3,8.9,7.5,7.86,1.2,0.9199999999999999,0.0005,0.0025,2.25,SAULT STE MARIE  DRINKING WATER SYSTEM,20170531,2017
0.15,0.375,0.5,0.1,12.0,7.83,0.3,0.8066666666666666,0.0005,0.017,2.0199999999999996,SAULT STE MARIE  DRINKING WATER SYSTEM,20170809,2017
0.78,0.375,7.0,10.6,13.0,7.97,1.1,0.7799999999999999,0.0005,0.018,2.0199999999999996,SAULT STE MARIE  DRINKING WATER SYSTEM,20170809,2017
0.63,0.375,5.4,14.8,13.2,7.91,1.1,1.0333333333333334,0.0005,0.037,2.0199999999999996,SIMCOE DRINKING WATER SYSTEM,20170913,2017
11.0,14.0,26.0,33.7,13.1,7.92,2.7,1.0333333333333334,0.0005,0.0025,2.0199999999999996,SMITHS FALLS  DRINKING WATER SYSTEM,20170502,2017
