Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (mg/L),Test R2 TCAA (ug/L),Test R2 BCAA(mg/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,789,0.0,0.574924378644062,0.5348739856075131,0.6322113081144356,0.2503240347624225,0.3619732355383612,,,,,,134985,0.35849055647850037,,0.056603774428367615,0.6911266278344809,0.5920476381749136,0.7514146301185144,0.49425633632983357
ontario,789,0.01,0.5750080377571245,0.5356397047148872,0.6325132303157771,0.2502162664747849,0.3617607254981056,,,,,,134985,0.3207547068595886,,0.056603774428367615,0.6893942252957501,0.5936629063483939,0.752710929373688,0.4942848602452763
ontario,789,0.05,0.5750956420394806,0.5384783611583349,0.6334647079704752,0.24990675555211223,0.36101039413082414,,,,,,134985,0.24528302252292633,,0.056603774428367615,0.6832275310713899,0.5991285250540686,0.7571120333718595,0.494390742384582
ontario,789,0.1,0.5748134186990951,0.5400591147590514,0.6337647841395069,0.24996298711513026,0.36066569447481844,,,,,,134985,0.18867924809455872,,0.056603774428367615,0.6777087278783118,0.602980661752063,0.7598005424466404,0.49456920448101194
ontario,789,0.5,0.5725011404597481,0.5440449146826732,0.631710215894737,0.25212540653541243,0.36171667140713837,,,,,,134985,0.056603774428367615,,0.01886792480945587,0.6576357512373654,0.614757843097192,0.7590168786719707,0.4954303905724198
ontario,789,1.0,0.5699541520583441,0.5485904607102807,0.6292260207555419,0.25427563700082473,0.36266482073273426,,,,,,134985,0.0,,0.01886792480945587,0.6437705279690039,0.6218380793888214,0.7551058483448034,0.49618962731953853
ontario,1024,0.0,0.6895876910122262,0.6086093242248193,0.4290795343722221,0.6834725094547573,0.5647197008277144,,,,,,134985,0.01886792480945587,,0.056603774428367615,0.4214113488982807,0.4515965248705295,0.4685929200741721,0.37471734364590614
ontario,1024,0.01,0.689608538367041,0.6082143664520786,0.42897355964030776,0.6835750810463859,0.5647044088273374,,,,,,134985,0.01886792480945587,,0.056603774428367615,0.4206926555547559,0.4513351228850804,0.4693422400567038,0.3745242200646913
ontario,1024,0.05,0.6897461474626175,0.6076413182015226,0.42890492957224235,0.6836132259198721,0.5640262190312726,,,,,,134985,0.0,,0.056603774428367615,0.4195682344635655,0.4512370172509701,0.47021696036542415,0.3745975062090092
ontario,1024,0.1,0.6899284889481396,0.6067374867141155,0.4290262738485555,0.6835124897148799,0.563470980699005,,,,,,134985,0.0,,0.056603774428367615,0.42069730900171554,0.4510614086464738,0.4700106147643073,0.3743357629817258
ontario,1024,0.5,0.6876801679297379,0.601922048002923,0.4277883454506673,0.6855041319268586,0.5624923641249354,,,,,,134985,0.0,,0.056603774428367615,0.4321123783955013,0.4523636308246892,0.45256849727988935,0.37410887530258896
ontario,1024,1.0,0.6865747389744314,0.5986301657069535,0.4270273661608764,0.6865644822011734,0.5618043264238046,,,,,,134985,0.0,,0.03773584961891174,0.43496718473585994,0.4518597633525001,0.44787619109950794,0.3734063254556371
ontario,2025,0.0,0.5640455458487839,0.3737680992625225,0.5196091270988736,0.46923008252632686,0.5055414695398348,,,,,,134985,0.3962264060974121,,0.11320754885673523,0.5494894796533152,0.44512139172985177,0.6241454431224579,0.4596801938898698
ontario,2025,0.01,0.5640659345828198,0.37414083586468105,0.5201385461500987,0.4688630936285325,0.5053133427780677,,,,,,134985,0.37735849618911743,,0.11320754885673523,0.5491169988517788,0.44778672809972186,0.6239944571021514,0.4596560005467427
ontario,2025,0.05,0.564008580447201,0.37548308148451837,0.5220740524270784,0.467543180270674,0.5043942522380775,,,,,,134985,0.3396226465702057,,0.11320754885673523,0.5475381966845547,0.45748842048740046,0.6235473599977785,0.45972223253857947
ontario,2025,0.1,0.5638171550262491,0.37664456545631086,0.5237926905140349,0.46640915965414426,0.5035928617240713,,,,,,134985,0.3396226465702057,,0.11320754885673523,0.5459336385710634,0.4666193371759262,0.6229612977569696,0.45965648855218033
ontario,2025,0.5,0.5592278283997604,0.38273885420862674,0.5331993429490761,0.46090252316170344,0.4996747595931924,,,,,,134985,0.24528302252292633,,0.11320754885673523,0.5334995020424211,0.5237275041053415,0.6156853491701253,0.4598850164784165
ontario,2025,1.0,0.5984632981679066,0.38769817991982247,0.5605809021762727,0.4340793388188167,0.47312680231583837,,,,,,134985,0.18867924809455872,,0.1320754736661911,0.5582821881799943,0.5590808261756922,0.6416785360112629,0.4832820583381413
ontario,3407,0.0,0.7512625859826652,0.6791057420437796,0.5958217994940007,0.5140880104939687,0.47748858183374676,,,,,,134985,0.0,,0.01886792480945587,0.5881171877726232,0.6078889431890617,0.6255137746980632,0.5617672923162551
ontario,3407,0.01,0.7511662465517273,0.6783133526170101,0.5954118453190919,0.5145499257007786,0.47740791108693514,,,,,,134985,0.0,,0.03773584961891174,0.5868843488794718,0.6072346648109039,0.6256636641700442,0.5618647034159474
ontario,3407,0.05,0.7508535346396417,0.6769829369980099,0.5946749486854099,0.5153109227886721,0.4775569834837502,,,,,,134985,0.0,,0.03773584961891174,0.5846549265877916,0.6067947643980728,0.6250019294770555,0.5622481742787201
ontario,3407,0.1,0.7507261403795246,0.6765179431149473,0.5951497041875402,0.5148552274510702,0.4771949339820364,,,,,,134985,0.0,,0.056603774428367615,0.5856957513501478,0.6060927262680982,0.6261278194387547,0.56268251969316
ontario,3407,0.5,0.697149808446438,0.6899556106219606,0.5711725130067924,0.553055271040265,0.48681319269392387,,,,,,134985,0.0,,0.03773584961891174,0.6210056855349493,0.5637075517621171,0.6067087940517693,0.49326802067833375
