Dataset,Seed,Fraction,N_train,Model,Test R2
original,42,0.3,14,Explainable Model,-0.5760616982910786
original,42,0.45,21,Random Forest,0.1834988422756432
original,42,0.45,21,Support Vector Regression,0.302021028820174
original,42,0.45,21,XGBoost,0.11729174864552527
original,42,0.45,21,Explainable Model,0.2666050609619061
original,42,0.6,28,Random Forest,-0.06986196687056041
original,42,0.6,28,Support Vector Regression,0.009384855334253973
original,42,0.6,28,XGBoost,-0.1812173446717174
original,42,0.6,28,Explainable Model,-0.10911214627792103
original,42,0.75,34,Random Forest,-0.6429561083042401
original,42,0.75,34,Support Vector Regression,0.3434744658475993
original,42,0.75,34,XGBoost,-1.1588422150526707
original,42,0.75,34,Explainable Model,0.07522728743686309
original,42,0.9,41,Random Forest,0.1441755244362986
original,42,0.9,41,Support Vector Regression,0.4103808840138948
original,42,0.9,41,XGBoost,0.044800345258297194
original,42,0.9,41,Explainable Model,-0.03210593121703427
original,42,1.0,46,Random Forest,0.29233090206920276
original,42,1.0,46,Support Vector Regression,0.38538101843004313
original,42,1.0,46,XGBoost,0.1593276165271999
original,42,1.0,46,Explainable Model,0.4279701885301641
original,123,0.3,14,Random Forest,0.13065799484198742
original,123,0.3,14,Support Vector Regression,0.022557851977713005
original,123,0.3,14,XGBoost,-1.0080991195280584
original,123,0.3,14,Explainable Model,0.09500567294565773
original,123,0.45,21,Random Forest,0.08148518240095086
original,123,0.45,21,Support Vector Regression,0.28932066200043166
original,123,0.45,21,XGBoost,-0.5444476265969591
original,123,0.45,21,Explainable Model,0.36662141506116863
original,123,0.6,28,Random Forest,-0.16898450665898995
original,123,0.6,28,Support Vector Regression,0.17996363281129357
original,123,0.6,28,XGBoost,-0.7669761519061998
original,123,0.6,28,Explainable Model,-0.13684906838586136
original,123,0.75,34,Random Forest,0.16491527247060914
original,123,0.75,34,Support Vector Regression,0.43122832002857586
original,123,0.75,34,XGBoost,-0.05484955175497528
original,123,0.75,34,Explainable Model,0.16917883735499387
original,123,0.9,41,Random Forest,0.17007157544029375
original,123,0.9,41,Support Vector Regression,0.43660170739762255
original,123,0.9,41,XGBoost,-0.0597510425139526
original,123,0.9,41,Explainable Model,0.09632591671240313
original,123,1.0,46,Random Forest,0.06740941980358636
original,123,1.0,46,Support Vector Regression,0.4359215551812244
original,123,1.0,46,XGBoost,-0.017364368760875125
original,123,1.0,46,Explainable Model,0.20834150332545756
original,456,0.3,14,Random Forest,-0.32904801738112555
original,456,0.3,14,Support Vector Regression,-0.09053520892573205
original,456,0.3,14,XGBoost,-0.8576925136287796
original,456,0.3,14,Explainable Model,-0.06261307563545795
original,456,0.45,21,Random Forest,0.2083279625760838
original,456,0.45,21,Support Vector Regression,-0.011006455546967909
original,456,0.45,21,XGBoost,0.13254756454973116
original,456,0.45,21,Explainable Model,0.15089006168069155
original,456,0.6,28,Random Forest,0.32469141593765793
original,456,0.6,28,Support Vector Regression,0.3925872742322828
original,456,0.6,28,XGBoost,-0.7542900689599554
original,456,0.6,28,Explainable Model,0.5240445544003628
original,456,0.75,34,Random Forest,0.045394171740602854
original,456,0.75,34,Support Vector Regression,0.37127493142688545
original,456,0.75,34,XGBoost,0.06683025836599743
original,456,0.75,34,Explainable Model,0.2869491111729342
original,456,0.9,41,Random Forest,0.06859966492060617
original,456,0.9,41,Support Vector Regression,-0.01988837266446879
original,456,0.9,41,XGBoost,-0.03952693811933441
original,456,0.9,41,Explainable Model,0.16526214719462723
original,456,1.0,46,Random Forest,0.37893716215705203
original,456,1.0,46,Support Vector Regression,0.430396138228878
original,456,1.0,46,XGBoost,0.3134660885108789
original,456,1.0,46,Explainable Model,0.5235588456521223
original,789,0.3,14,Random Forest,0.2543436423508134
original,789,0.3,14,Support Vector Regression,0.3887254138974562
original,789,0.3,14,XGBoost,-0.042142633434359734
original,789,0.3,14,Explainable Model,0.16468846535459528
original,789,0.45,21,Random Forest,-0.22716021598621156
original,789,0.45,21,Support Vector Regression,0.04841202715660187
original,789,0.45,21,XGBoost,-0.5436314791389036
original,789,0.45,21,Explainable Model,-0.13590440666481904
original,789,0.6,28,Random Forest,0.1263177715479876
original,789,0.6,28,Support Vector Regression,-0.16658726108557587
original,789,0.6,28,XGBoost,0.030982878947260196
original,789,0.6,28,Explainable Model,0.20916343986082725
original,789,0.75,34,Random Forest,-0.20606682918192437
original,789,0.75,34,Support Vector Regression,0.16481841598514568
original,789,0.75,34,XGBoost,-0.37733033318204745
original,789,0.75,34,Explainable Model,-0.014355355665544666
original,789,0.9,41,Random Forest,0.20713717682203603
original,789,0.9,41,Support Vector Regression,0.3449488512996116
original,789,0.9,41,XGBoost,0.19487521896100607
original,789,0.9,41,Explainable Model,0.06968227733752022
original,789,1.0,46,Random Forest,0.20677914231641478
original,789,1.0,46,Support Vector Regression,0.41206223287259214
original,789,1.0,46,XGBoost,0.2832188294693445
original,789,1.0,46,Explainable Model,0.370828398052491
original,1024,0.3,14,Random Forest,0.0433886416468622
original,1024,0.3,14,Support Vector Regression,-0.033510038778555004
original,1024,0.3,14,XGBoost,-0.7249544180737478
original,1024,0.3,14,Explainable Model,0.09534030322524215
original,1024,0.45,21,Random Forest,-0.2818562490613107
original,1024,0.45,21,Support Vector Regression,0.20526066556523057
original,1024,0.45,21,XGBoost,-0.04111255588270446
original,1024,0.45,21,Explainable Model,-0.3662049323609936
original,1024,0.6,28,Random Forest,0.1054369663755728
original,1024,0.6,28,Support Vector Regression,0.32522862299513106
original,1024,0.6,28,XGBoost,-0.32316249731830127
original,1024,0.6,28,Explainable Model,0.26834213451108735
original,1024,0.75,34,Random Forest,-0.11470782173782454
original,1024,0.75,34,Support Vector Regression,0.3520025896669055
original,1024,0.75,34,XGBoost,-0.2621082239067771
original,1024,0.75,34,Explainable Model,0.1502300024526158
original,1024,0.9,41,Random Forest,0.20329811570379297
original,1024,0.9,41,Support Vector Regression,0.5106166814855605
original,1024,0.9,41,XGBoost,0.1070749183739895
original,1024,0.9,41,Explainable Model,0.02691228658391618
original,1024,1.0,46,Random Forest,0.1921862615836271
original,1024,1.0,46,Support Vector Regression,0.27880712705488186
original,1024,1.0,46,XGBoost,0.09796329526021555
original,1024,1.0,46,Explainable Model,0.3337124869462461
original,2025,0.3,14,Random Forest,-0.0853825783443114
original,2025,0.3,14,Support Vector Regression,-0.46933021470154124
original,2025,0.3,14,XGBoost,-0.33060198262332985
original,2025,0.3,14,Explainable Model,-0.6447911671055847
original,2025,0.45,21,Random Forest,-0.045037268035533005
original,2025,0.45,21,Support Vector Regression,0.032210705820871446
original,2025,0.45,21,XGBoost,-0.4102855886314636
original,2025,0.45,21,Explainable Model,-0.1167651794551606
original,2025,0.6,28,Random Forest,0.35842594633540864
original,2025,0.6,28,Support Vector Regression,0.2279627645118556
original,2025,0.6,28,XGBoost,0.09249653916794669
original,2025,0.6,28,Explainable Model,0.4163846614440151
original,2025,0.75,34,Random Forest,0.08826777078326149
original,2025,0.75,34,Support Vector Regression,0.40763139352819183
original,2025,0.75,34,XGBoost,-0.33445741456830264
original,2025,0.75,34,Explainable Model,0.4734430904163315
original,2025,0.9,41,Random Forest,0.10658562329479818
original,2025,0.9,41,Support Vector Regression,0.05152260191549509
original,2025,0.9,41,XGBoost,0.199060528985111
original,2025,0.9,41,Explainable Model,0.13847235841794645
original,2025,1.0,46,Random Forest,0.31441937863138175
original,2025,1.0,46,Support Vector Regression,0.4407057685737549
original,2025,1.0,46,XGBoost,0.45798647594295544
original,2025,1.0,46,Explainable Model,0.2412793169135062
original,3407,0.3,14,Random Forest,0.1697506476921283
original,3407,0.3,14,Support Vector Regression,0.18875395860553726
original,3407,0.3,14,XGBoost,-0.37405650570438126
original,3407,0.3,14,Explainable Model,0.06921829964446877
original,3407,0.45,21,Random Forest,0.10844324024024021
original,3407,0.45,21,Support Vector Regression,0.18598340360865862
original,3407,0.45,21,XGBoost,-0.008497022666359388
original,3407,0.45,21,Explainable Model,0.05189949017721347
original,3407,0.6,28,Random Forest,0.18412556332598637
original,3407,0.6,28,Support Vector Regression,0.330240448817272
original,3407,0.6,28,XGBoost,0.1498723844961986
original,3407,0.6,28,Explainable Model,-0.28686292255842993
original,3407,0.75,34,Random Forest,0.30806013527036374
original,3407,0.75,34,Support Vector Regression,0.35318137021432383
original,3407,0.75,34,XGBoost,-0.11540196183974634
original,3407,0.75,34,Explainable Model,0.4043081635606673
original,3407,0.9,41,Random Forest,0.2776921649281513
original,3407,0.9,41,Support Vector Regression,0.12686770021169896
original,3407,0.9,41,XGBoost,-0.03266230673308479
original,3407,0.9,41,Explainable Model,0.38187282038666837
original,3407,1.0,46,Random Forest,0.3384985273665565
original,3407,1.0,46,Support Vector Regression,0.22574558138974243
original,3407,1.0,46,XGBoost,0.11241576027050626
original,3407,1.0,46,Explainable Model,0.19209723274059526
original,5555,0.3,14,Random Forest,0.026662414075381703
original,5555,0.3,14,Support Vector Regression,0.13899632476069967
original,5555,0.3,14,XGBoost,-0.32707077527451645
original,5555,0.3,14,Explainable Model,0.1251408886118861
original,5555,0.45,21,Random Forest,0.1143488536179688
original,5555,0.45,21,Support Vector Regression,0.36104879663644507
original,5555,0.45,21,XGBoost,0.13778638116082734
original,5555,0.45,21,Explainable Model,0.06949309576678817
original,5555,0.6,28,Random Forest,0.29682352889146935
original,5555,0.6,28,Support Vector Regression,0.504305557377255
original,5555,0.6,28,XGBoost,0.07823182541872446
original,5555,0.6,28,Explainable Model,0.40221913245935453
original,5555,0.75,34,Random Forest,0.4042234384219047
original,5555,0.75,34,Support Vector Regression,0.42400571216114613
original,5555,0.75,34,XGBoost,0.4795331881984171
original,5555,0.75,34,Explainable Model,0.48605704788795717
original,5555,0.9,41,Random Forest,0.214582924599325
original,5555,0.9,41,Support Vector Regression,0.42574240674956537
original,5555,0.9,41,XGBoost,0.21983941868947116
original,5555,0.9,41,Explainable Model,0.47666472132223936
original,5555,1.0,46,Random Forest,0.45106051443007666
original,5555,1.0,46,Support Vector Regression,0.5810906152921789
original,5555,1.0,46,XGBoost,0.4626092664606524
original,5555,1.0,46,Explainable Model,0.5638128252405541
original,7777,0.3,14,Random Forest,0.008584186316280374
original,7777,0.3,14,Support Vector Regression,-0.09230393251151088
original,7777,0.3,14,XGBoost,-0.03857051565529159
